"rule","title","display","id","matchstring"
"ProjectByID","Procurement","show",1155,
"ProjectByID","Hardware Requests","show",1014,
"ProjectByID","Decommision","show",3364,
"ProjectByID","Data Centers","show",955,
"ProjectByID","Data Centers","show",952,
"ProjectByID","Data Centers","show",3127,
"ProjectByID","Data Centers","show",954,
"ProjectByID","Data Centers","show",951,
"ProjectByID","Monitoring","show",84,
"ProjectByID","Access Requests","show",956,
"ProjectByID","Access Requests","show",1564,
"ProjectByID","PyBal","show",984,
"ProjectByID","DC-Ops","show",1784,
"ProjectByID","Kubernetes","show",2290,
"ProjectByID","Mail","show",983,
"ProjectByID","Domains","show",1040,
"ProjectByID","DNS","show",154,
"ProjectByID","Media Storage","show",76,
"ProjectByID","Packaging","show",1782,
"ProjectByID","Network Operations","show",950,
"ProjectByID","Traffic","show",1201,
"ProjectByID","DBA","show",1060,
"ProjectByID","Software Development","show",1828,
"ProjectByID","Other Operations","show",1025,
